strategy,IMDB-Sakila,CprdAurum-OMOP,CprdGold-OMOP,OMOP-CMS,MIMIC-OMOP
Coma,0.6,0.08,0.15,0.01,0.02,0.01,0.0,0.02,0.01,1.0,0.01,0.01,0.03,0.02,0.02
Similarity Flooding,0.14,0.17,0.15,0.0,0.0,0.0,0.0,0.02,0.01,0.22,0.13,0.16,0.02,0.03,0.02
Unicorn,0.986,0.0,0.0,0.98,0.045,0.018,0.995,0.089,0.035,0.967,0.002,0.003,0.995,0.008,0.015
Rematch (gpt-3.5),0.52,0.72,0.6,0.05,0.44,0.1,0.03,0.05,0.04,0.52,0.54,0.53,0.05,0.32,0.09
Rematch (gpt-4o),0.51,0.83,0.63,0.14,0.48,0.22,0.04,0.68,0.08,0.76,0.76,0.76,0.2,0.81,0.32
Schema Understanding (rewrite:gpt-3.5/matching:gpt-3.5),0.75,0.58,0.66,0.21,0.46,0.29,0.01,0.02,0.01,0.86,0.29,0.43,0.1,0.37,0.16
Schema Understanding (rewrite:gpt-4o/matching:gpt-4o),0.9,0.72,0.8,0.23,0.65,0.34,0.12,0.45,0.19,0.8,0.34,0.48,0.4,0.69,0.51
